Symbol,Name,Category,Index,Expense
PFF,iShares Preferred and Income Securities ETF,Preferred Stock/Convertible Bonds,S&P U.S. Preferred Stock Index,0.46%
PGX,Invesco Preferred ETF,Preferred Stock/Convertible Bonds,BofA Merrill Lynch Core Fixed Rate Preferred Securities Index,0.52%
PGF,Invesco Financial Preferred ETF,Preferred Stock/Convertible Bonds,Wachovia Hybrid & Preferred Securities Financial Index,0.62%
PSK,SPDR Wells Fargo Preferred Stock ETF,Preferred Stock/Convertible Bonds,Wells Fargo Hybrid and Preferred Securities Aggregate Index,0.45%
PFXF,VanEck Vectors Preferred Securities ex Financials ETF,Preferred Stock/Convertible Bonds,Wells Fargo Hybrid and Preferred Securities ex Financials Index,0.41%
PFFD,Global X U.S. Preferred ETF,Preferred Stock/Convertible Bonds,BofA Merrill Lynch Diversified Core U.S. Preferred Securities Index,0.23%
SPFF,Global X SuperIncome Preferred ETF,Preferred Stock/Convertible Bonds,S&P Enhanced Yield North American Preferred Stock Index,0.58%
PFFR,InfraCap REIT Preferred ETF,Preferred Stock/Convertible Bonds,Indxx REIT Preferred Stock Index,0.45%
IPFF,iShares International Preferred Stock ETF,Preferred Stock/Convertible Bonds,S&P International Preferred Stock Index,0.55%
EPRF,Innovator S&P High Quality Preferred ETF,Preferred Stock/Convertible Bonds, S&P U.S. High Quality Preferred Stock Index,0.47%
