Symbol,Name,Category,Index,Expense
VNQ,Vanguard Real Estate Index Fund,Real Estate,MSCI US REIT Index,0.12%
SCHH,Schwab US REIT ETF,Real Estate,Dow Jones U.S. Select REIT Index,0.07%
VNQI,Vanguard Global ex-U.S. Real Estate Index Fund ETF,Global Real Estate,S&P Global ex-U.S. Property Index,0.12%
IYR,iShares U.S. Real Estate ETF,Real Estate,Dow Jones U.S. Real Estate Index,0.42%
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,Real Estate Select Sector Index,0.13%
ICF,iShares Cohen & Steers REIT ETF,Real Estate,Cohen & Steers Realty Majors Index,0.34%
REET,iShares Global REIT ETF,Global Real Estate,FTSE EPRA/NAREIT Global REIT Index ,0.14%
RWO,SPDR DJ Wilshire Global Real Estate ETF,Global Real Estate,Dow Jones Global Select Real Estate Securities Index,0.50%
RWR,SPDR Dow Jones REIT ETF,Real Estate,Dow Jones U.S. Select REIT Index,0.25%
RWX,SPDR DJ Wilshire International Real Estate ETF,Global Real Estate,Dow Jones Global ex-U.S. Real Estate Securities Index,0.59%
USRT,iShares Core U.S. REIT ETF,Real Estate,FTSE NAREIT Equity REITs Index,0.08%
REM,iShares Mortgage Real Estate ETF,Real Estate,FTSE NAREIT All Mortgage Capped Index,0.48%
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate,MSCI US REIT Index,0.11%
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,MSCI USA IMI Real Estate Index,0.08%
SRET,Global X SuperDividend REIT ETF,Real Estate,Solactive Global SuperDividend REIT Index,0.59%
REZ,iShares Residential Real Estate ETF,Real Estate,FTSE NAREIT All Residential Capped Index,0.48%
GQRE,FlexShares Global Quality Real Estate Index Fund,Global Real Estate,Northern Trust Global Quality Real Estate Index,0.45%
IFGL,iShares International Developed Real Estate ETF,Global Real Estate,FTSE EPRA/NAREIT Developed Real Estate ex-U.S. Index,0.48%
SRVR,Pacer Benchmark Data & Infrastructure Real Estate SCTR ETF,Real Estate,Benchmark Data & Infrastructure Real Estate SCTR Index,0.60%
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Real Estate,KBW Premium Yield Equity REIT Index,0.35%
VRAI,Virtus Real Asset Income ETF,Real Estate,Indxx Real Asset Income Index,0.55%
MORT,VanEck Vectors Mortgage REIT Income ETF,Real Estate,MVIS Global Mortgage REITs Index,0.42%
FRI,First Trust S&P REIT Index Fund,Real Estate,S&P United States REIT Index,0.50%
PPTY,PPTY - U.S. Diversified Real Estate ETF,Real Estate,PPTYX - US Diversified Real Estate Index,0.49%
WPS,iShares International Property ETF,Global Real Estate,S&P Developed ex US Property Index,0.48%
DRW,WisdomTree Global ex-US Real Estate Fund,Global Real Estate,WisdomTree Global ex-US Real Estate Index,0.58%
ROOF,IQ US Real Estate Small Cap ETF,Real Estate,IQ US Real Estate Small Cap Index,0.70%
NURE,Nuveen Short-Term REIT ETF,Real Estate,Dow Jones U.S. Select Short-Term REIT Index,0.35%
FFR,First Trust FTSE EPRA/NAREIT Developed Markets Real Estate Index Fund,Global Real Estate,FTSE EPRA/NAREIT Developed Index,0.60%
INDS,Pacer Benchmark Industrial Real Estate SCTR ETF,Real Estate,Benchmark Industrial Real Estate SCTR Index,0.60%
NETL,NETLease Corporate Real Estate ETF,Real Estate,Fundamental Income Net Lease Real Estate Index,0.60%
RDOG,ALPS REIT Dividend Dogs ETF,Real Estate,S-Network REIT Dividend Dogs Index,0.35%
IFEU,iShares Europe Developed Real Estate ETF,Real Estate,FTSE EPRA/NAREIT Developed Europe Index,0.48%
EWRE,Invesco S&P 500® Equal Weight Real Estate ETF,Real Estate,S&P 500 Equal Weight Real Estate Index,0.40%
HOMZ,Hoya Capital Housing ETF,Real Estate,Hoya Capital Housing 100 Index,0.45%
CHIR,Global X MSCI China Real Estate ETF,Global Real Estate,MSCI China Real Estate 10/50 Index,0.65%
RORE,Hartford Multifactor REIT ETF,Real Estate,Hartford Risk-Optimized Multifactor REIT Index,0.45%
RTL,Pacer Benchmark Retail Real Estate SCTR ETF,Real Estate,Benchmark Retail Real Estate SCTR Index,0.60%
